LocalID;VisitID;OdkazujiciStranka;TypOdkazovace;VstupniStranka;VstupniStrankaKat;VstupniStrankaRozKat;VstupniStrankaScore;KonverzeStranka;KonverzeStrankaKat;KonverzeStrankaRozKat;KonverzeStrankaScore;Konverze;VystupniStranka;VystupniStrankaKat;VystupniStrankaRozKat;VystupniStrankaScore;NavstivenoStranek;CelkovyCas;DenVTydnu;HodinaDne;NejTema;NejTemaScore;SirkaZajmu;PosilatNovinky;ZaslatKatalog;Slevy;Prihlaska;KdoJsme;Pojisteni;agregInfo;agregHledani;HledaniZeme;HledaniRozsirene;HledaniKW;HledaniKatalog
109811;1185;URI_9;katalog;www.poznani.cz;Info;Homepage;30;;;;0;0;rafting;Hledani;Katalog;83;6;0;Sunday;23;Rafting;83;6;0;0;0;0;0;0;30;344;0;0;0;344
109813;1187;URI_0;Neni;www.poznani.cz;Info;Homepage;30;;;;0;0;lastminute;Hledani;Katalog;104;12;240;Sunday;23;Pobyty s vylety;198;10;0;0;104;0;0;0;30;1239;0;0;0;1239
109815;1189;URI_0;Neni;www.poznani.cz;Info;Homepage;60;zajezdy-a-dovolene-se-stanem-i-do-hotelu.htm;Hledani;Rozsirene;167;1;n_katalog.asp;Info;Zaslat katalog;88;7;540;Monday;0;Obecne;518;7;203;88;0;0;0;0;351;859;0;167;0;692
109818;1192;URI_9;katalog;www.poznani.cz;Info;Homepage;30;;;;0;0;liparske-ostrovy;Hledani;Katalog;92;8;300;Monday;1;Obecne;650;8;0;0;429;0;0;0;494;451;0;156;0;295
109825;1199;URI_80;Fulltext;kirgizie-pamír-pik-lenina.htm;Zajezd;Neni;30;;;;0;0;kirgizie-pamír-pik-lenina.htm;Zajezd;Neni;62;3;0;Monday;6;Rafting;92;3;0;0;0;0;0;0;0;50;0;0;0;50
109830;1204;URI_80;Fulltext;www.poznani.cz;Info;Homepage;30;;;;0;0;zajezdy-a-dovolene-se-stanem-i-do-hotelu.htm;Hledani;Rozsirene;83;6;120;Monday;7;Pobyty s vylety;283;6;0;0;0;0;101;0;131;145;0;83;0;62
109831;1205;URI_42;Fulltext;www.poznani.cz;Info;Homepage;30;;;;0;0;mexiko-guatemala-honduras-belize.htm;Zajezd;Neni;62;3;60;Monday;7;Exotika;163;3;0;0;0;0;0;0;30;101;0;0;0;101
109833;1207;URI_93;Partneri;www.poznani.cz;Info;Homepage;30;národní-parky-a-termály-maďarska-a-slovenska.htm;Zajezd;Neni;251;1;n_katalog.asp;Info;Zaslat katalog;71;4;120;Monday;7;Turistika;301;4;0;71;0;0;0;0;101;50;0;0;0;50
109835;1209;URI_80;Fulltext;lehka-turistika;Hledani;Katalog;30;;;;0;0;nová-guinea-levni-!!!.htm;Zajezd;Neni;62;3;60;Monday;8;Exotika;163;2;0;0;0;0;0;0;0;131;0;0;0;131
109836;1210;URI_101;Vlastni Weby;www.poznani.cz;Info;Homepage;60;;;;0;0;sopkami-střední-a-jižní-itálie-(sicílie-lipari)-poznávací-zájezd.htm;Zajezd;Neni;78;5;420;Monday;8;Lipari;604;5;0;0;0;0;0;0;60;101;0;0;0;101
109838;1212;URI_9;katalog;www.poznani.cz;Info;Homepage;30;;;;0;0;národní-parky-a-moře-řecka.htm;Zajezd;Neni;62;3;120;Monday;8;Turistika;265;3;0;0;0;0;0;0;30;203;0;0;0;203
109842;1216;URI_42;Fulltext;www.poznani.cz;Info;Homepage;60;;;;0;0;n_sleva.asp;Info;Slevy;101;11;1200;Monday;9;Pobyty s vylety;2088;11;0;0;101;0;0;0;161;351;0;0;0;351
109844;1218;URI_42;Fulltext;www.poznani.cz;Info;Homepage;60;;;;0;0;silvestr-2004-2005-běžkařský-silvestr-na-podkarpatské-rusi-zimní-dovolená-lyžařský-zájezd.htm;Zajezd;Neni;62;3;120;Monday;8;Lastminute;101;3;0;0;101;0;0;0;60;101;0;0;0;101
109845;1219;URI_39;Fulltext;www.poznani.cz;Info;Homepage;60;;;;0;0;horska-turistika;Hledani;Katalog;71;4;120;Monday;8;Voda;101;4;0;0;0;0;0;0;60;234;0;0;0;234
109854;1228;URI_45;Fulltext;zeme~52;Hledani;DleZeme;60;;;;0;0;zajezdy-se-stany;Hledani;Katalog;62;3;240;Monday;9;Skolni zajezdy;304;3;0;0;0;0;0;0;0;122;60;0;0;62
109856;1230;URI_42;Fulltext;anglie-londýn-s-výletem-do-stonehenge-a-oxfordu-.htm;Zajezd;Neni;180;;;;0;0;anglie-londýn-s-výletem-do-stonehenge-a-oxfordu-.htm;Zajezd;Neni;286;4;240;Monday;9;Poznavaci zajezdy s ubytovanim;466;4;0;0;0;0;0;0;0;101;0;0;0;101
109859;1233;URI_0;Neni;www.poznani.cz;Info;Homepage;30;;;;0;0;jednodenní-rafting-v-čechách:-sázava-stvořidla-ww-iii.htm;Zajezd;Neni;78;5;60;Monday;9;Rafting;149;5;0;0;0;0;0;0;80;196;0;0;0;196
109864;1238;URI_0;Neni;www.poznani.cz;Info;Homepage;30;;;;0;0;rumunsko-dunajská-delta-na-lodích-i-suchou-nohou.htm;Zajezd;Neni;78;5;300;Monday;9;Turistika;581;5;0;0;0;0;0;0;30;101;0;101;0;0
109879;1253;URI_73;Vlastni Weby;www.poznani.cz;Info;Homepage;30;;;;0;0;expedice-omo-divoké-kmeny-afriky.htm;Zajezd;Neni;78;5;180;Monday;9;Exotika;268;5;0;0;0;0;0;0;30;226;0;0;0;226
109882;1256;URI_0;Neni;www.poznani.cz;Info;Homepage;30;;;;0;0;korsika-smaragdový-ostrov-korsika.htm;Zajezd;Neni;78;5;120;Monday;10;Turistika;179;5;0;0;62;0;0;0;30;306;0;0;0;306
109883;1257;URI_80;Fulltext;www.poznani.cz;Info;Homepage;60;;;;0;0;www.poznani.cz;Info;Homepage;62;3;180;Monday;10;Horska turistika;203;3;0;0;0;0;0;0;122;203;0;0;0;203
109884;1258;URI_118;Vlastni Weby;ubytovani-s-vlastni-dopravou;Hledani;Katalog;60;;;;0;0;lastminute;Hledani;Katalog;62;3;120;Monday;10;Ubytovani a doprava;161;3;0;0;62;0;0;0;0;122;0;0;0;122
109886;1260;URI_80;Fulltext;bulharsko;Hledani;Katalog;30;;;;0;0;bulharsko-pobyt-s-výlety-dovolená-2005-.htm;Zajezd;Neni;78;5;180;Monday;10;Bulharsko;280;5;0;0;0;0;0;0;0;101;0;0;0;101
109890;1264;URI_133;OstatniNerozliseno;www.poznani.cz;Info;Homepage;60;;;;0;0;lastminute;Hledani;Katalog;62;3;120;Monday;10;Hotelbusy;101;3;0;0;62;0;0;0;60;163;0;0;0;163
109894;1268;URI_0;Neni;www.poznani.cz;Info;Homepage;30;;;;0;0;anglie-londýn-(s-výletem-do-stonehenge-a-oxfordu).htm;Zajezd;Neni;71;4;60;Monday;10;Obecne;193;4;0;0;0;0;0;0;131;62;62;0;0;0
109900;1274;URI_0;Neni;www.poznani.cz;Info;Homepage;60;;;;0;0;www.poznani.cz;Info;Homepage;83;6;1080;Monday;11;Lipari;2209;6;0;0;0;0;0;0;299;163;0;0;0;163
109902;1276;URI_0;Neni;www.poznani.cz;Info;Homepage;30;;;;0;0;www.poznani.cz;Info;Homepage;78;5;840;Monday;11;Poznavaci zajezdy s ubytovanim;1843;5;0;0;101;0;0;0;108;226;0;0;0;226
109903;1277;URI_0;Neni;www.poznani.cz;Info;Homepage;30;;;;0;0;cykloturistika-zahranici;Hledani;Katalog;71;4;120;Monday;10;Lastminute;125;3;0;0;125;0;0;0;30;297;0;0;0;297
109904;1278;URI_0;Neni;lehka-turistika;Hledani;Katalog;30;;;;0;0;zajezdy-a-dovolene-se-stanem-i-do-hotelu.htm;Hledani;Rozsirene;62;3;60;Monday;10;Horska turistika;101;2;0;0;0;0;0;0;0;193;0;62;0;131
109905;1279;URI_42;Fulltext;www.poznani.cz;Info;Homepage;30;;;;0;0;lastminute;Hledani;Katalog;71;4;0;Monday;10;Lastminute;71;4;0;0;71;0;0;0;30;183;0;0;0;183
109906;1280;URI_0;Neni;www.poznani.cz;Info;Homepage;60;www.poznani.cz;Info;Homepage;176;1;n_katalog.asp;Info;Zaslat katalog;92;8;540;Monday;10;Obecne;998;8;0;92;670;0;0;0;998;50;0;0;0;50
109910;1284;URI_0;Neni;www.poznani.cz;Info;Homepage;180;;;;0;0;n_sleva.asp;Info;Slevy;62;3;240;Monday;10;Obecne;343;3;0;0;62;0;0;0;343;0;0;0;0;0
