"LocalID","PageID","VisitID","PageName","CatName","CatID","ExtCatName","ExtCatID","TopicName","TopicID","TimeOnPage","PageScore","SequenceNumber"
648460,3044,1185,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,30,30,1
648461,3045,1185,"zajezdy-se-stany","Hledani",2,"Katalog",5,"Turistika",1,30,50,2
648462,3046,1185,"horska-turistika","Hledani",2,"Katalog",5,"Horska turistika",3,30,62,3
648463,3047,1185,"expedice-hory","Hledani",2,"Katalog",5,"VHT",21,30,71,4
648464,3048,1185,"voda","Hledani",2,"Katalog",5,"Voda",2,30,78,5
648465,3049,1185,"rafting","Hledani",2,"Katalog",5,"Rafting",24,30,83,6
648466,3050,1186,"norsko-cesta-na-dalek˝-sever-?-lofoty.htm","Zajezd",3,"Neni",-1,"Turistika",1,300,300,1
648467,3051,1186,"n·rodnÌ-parky-a-term·ly-maÔarska-a-slovenska.htm","Zajezd",3,"Neni",-1,"Turistika",1,30,50,2
648468,3044,1187,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,30,30,1
648469,3046,1187,"horska-turistika","Hledani",2,"Katalog",5,"Horska turistika",3,60,101,2
648470,3049,1187,"rafting","Hledani",2,"Katalog",5,"Rafting",24,30,62,3
648471,3048,1187,"voda","Hledani",2,"Katalog",5,"Voda",2,30,71,4
648472,3047,1187,"expedice-hory","Hledani",2,"Katalog",5,"VHT",21,60,156,5
648473,3052,1187,"daleke-poznavaci-cesty","Hledani",2,"Katalog",5,"Exotika",5,30,83,6
648474,3053,1187,"lehka-turistika","Hledani",2,"Katalog",5,"Neni",-1,60,176,7
648475,3054,1187,"korsika","Hledani",2,"Katalog",5,"Korsika",11,30,92,8
648476,3055,1187,"lefkada","Hledani",2,"Katalog",5,"Neni",-1,30,95,9
648477,3056,1187,"pobyty-s-vylety","Hledani",2,"Katalog",5,"Pobyty s vylety",6,60,198,10
648478,3057,1187,"hotelbusy","Hledani",2,"Katalog",5,"Hotelbusy",17,30,101,11
648479,3058,1187,"lastminute","Hledani",2,"Katalog",5,"Lastminute",101,30,104,12
648480,3059,1188,"polsko-velk˝-okruh-polskem.htm","Zajezd",3,"Neni",-1,"Poznavaci zajezdy s ubytovanim",8,30,30,1
648481,3044,1189,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,60,60,1
648482,3052,1189,"daleke-poznavaci-cesty","Hledani",2,"Katalog",5,"Exotika",5,240,406,2
648484,3063,1189,"expedice","Hledani",2,"Katalog",5,"Expedice Narocne",18,120,286,4
648483,3062,1189,"n_novinky-zajezdy.asp","Info",4,"Posilat novinky",6,"Obecne",1000,60,125,3
648485,3062,1189,"n_novinky-zajezdy.asp","Info",4,"Posilat novinky",6,"Obecne",1000,30,78,5
648486,3064,1189,"zajezdy-a-dovolene-se-stanem-i-do-hotelu.htm","Hledani",2,"Rozsirene",3,"Obecne",1000,60,167,6
648487,3065,1189,"n_katalog.asp","Info",4,"Zaslat katalog",7,"Obecne",1000,30,88,7
648489,3046,1190,"horska-turistika","Hledani",2,"Katalog",5,"Horska turistika",3,30,50,2
648488,3060,1190,"n_novinky-zajezdy.asp","Info",4,"Posilat novinky",6,"Obecne",1000,180,180,1
648490,3061,1191,"silvestr-2004-2005-bi?kaosk˝-silvestr-na-podkarpatskÈ-rusi-zimnÌ-dovolen·-ly?aosk˝-z·jezd.htm","Zajezd",3,"Neni",-1,"Lyze",9,30,30,1
648491,3044,1192,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,30,30,1
648493,3044,1192,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,30,62,3
648497,3044,1192,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,60,176,7
648492,3058,1192,"lastminute","Hledani",2,"Katalog",5,"Lastminute",101,120,203,2
648498,3067,1192,"liparske-ostrovy","Hledani",2,"Katalog",5,"Lipari",10,30,92,8
648495,3064,1192,"zajezdy-a-dovolene-se-stanem-i-do-hotelu.htm","Hledani",2,"Rozsirene",3,"Obecne",1000,60,156,5
648494,3066,1192,"n_sleva.asp","Info",4,"Slevy",8,"Obecne",1000,60,143,4
648496,3066,1192,"n_sleva.asp","Info",4,"Slevy",8,"Obecne",1000,30,83,6
648499,3044,1193,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,30,30,1
648500,3068,1194,"jiûnÌ-alb·nie-s-pobytem-na-korfu.htm","Zajezd",3,"Neni",-1,"Pobyty s vylety",6,30,30,1
648501,3061,1195,"silvestr-2004-2005-bi?kaosk˝-silvestr-na-podkarpatskÈ-rusi-zimnÌ-dovolen·-ly?aosk˝-z·jezd.htm","Zajezd",3,"Neni",-1,"Lyze",9,30,30,1
648502,3069,1196,"silvestr-2004-bi?kaosk˝-silvestr-na-podkarpatskÈ-rusi-zimnÌ-dovolen·-ly?aosk˝-z·jezd.htm","Zajezd",3,"Neni",-1,"Lyze",9,30,30,1
648503,3061,1197,"silvestr-2004-2005-bi?kaosk˝-silvestr-na-podkarpatskÈ-rusi-zimnÌ-dovolen·-ly?aosk˝-z·jezd.htm","Zajezd",3,"Neni",-1,"Lyze",9,30,30,1
